[0.33260223 0.50252205],[0.3202467  0.50278914],[0.31987837 0.5026088 ],[0.32335472 0.5046608 ],[0.3238024  0.50764215],[0.37080547 0.465627  ],[0.3656898 0.5294969],[0.42542762 0.45187664],[0.42929345 0.56760657],[0.48049805 0.4526908 ],[0.42315674 0.5448554 ],[0.4974032 0.4894949],[0.4954133 0.5094322],[0.600009 0.505768],[0.5969879 0.5096704],[0.66854894 0.50216943],[0.6696111 0.5002616]
[0.33355802 0.5059056 ],[0.32131124 0.5132272 ],[0.32219788 0.49502414],[0.32553953 0.52666783],[0.32805648 0.48394966],[0.3679347 0.5487985],[0.37591508 0.46046874],[0.4355113 0.5569978],[0.43070883 0.45925635],[0.4644958  0.53094363],[0.48316526 0.46209982],[0.50105387 0.53063554],[0.49687034 0.47900826],[0.59815216 0.5242684 ],[0.6002612  0.47778547],[0.679111  0.5212306],[0.6691117  0.48055387]
[0.33666977 0.5047922 ],[0.32653242 0.5134188 ],[0.32654232 0.49350706],[0.33013487 0.52498204],[0.33112493 0.48199412],[0.37153643 0.5443523 ],[0.3802147  0.45735297],[0.43543193 0.553782  ],[0.4359309  0.45766222],[0.48007697 0.5389871 ],[0.4907881  0.46976072],[0.50107944 0.5314951 ],[0.49841323 0.4816139 ],[0.5989237 0.5239799],[0.6006596  0.48026982],[0.6856463 0.5212198],[0.6837779  0.48386702]
[0.33719766 0.505078  ],[0.32707056 0.5128055 ],[0.3273509  0.49397957],[0.32701698 0.52198553],[0.32867867 0.48231447],[0.37001166 0.54452497],[0.3775549 0.4559873],[0.4314615 0.5534385],[0.4368562  0.45816702],[0.4760805  0.54525936],[0.47941133 0.48677745],[0.4977148 0.5276883],[0.49488983 0.48172295],[0.5998134 0.5262638],[0.60002106 0.4822057 ],[0.67804784 0.5241096 ],[0.6776474  0.48380154]
[0.3373449 0.5016187],[0.3265397  0.50916415],[0.32739684 0.49160776],[0.32636976 0.51855165],[0.3286943  0.48049515],[0.37014684 0.5421035 ],[0.37707362 0.45268732],[0.43001392 0.54931176],[0.43667173 0.45527673],[0.47681388 0.54540193],[0.46799475 0.48872474],[0.49624905 0.5277761 ],[0.49210677 0.48122713],[0.5928865 0.5284782],[0.59289074 0.48645923],[0.6698467  0.51978827],[0.6721499  0.49086633]
[0.33578482 0.500231  ],[0.3234221 0.5047524],[0.32386193 0.49403784],[0.32546917 0.5112672 ],[0.3287364 0.4865545],[0.37004718 0.5338784 ],[0.378632   0.45677412],[0.4261579 0.5490235],[0.43510175 0.45226154],[0.47294313 0.5431656 ],[0.4570236  0.50863117],[0.4967666  0.51807564],[0.49302784 0.48811504],[0.59188426 0.5224329 ],[0.591194  0.4907817],[0.6614951 0.5165189],[0.67136663 0.49639305]
[0.33465847 0.49856892],[0.32199308 0.4998197 ],[0.3222362 0.4991189],[0.3291893  0.49760103],[0.32756186 0.50422984],[0.3727366 0.4742813],[0.37184796 0.5305115 ],[0.43014157 0.44843972],[0.4251503 0.5536315],[0.44877905 0.5029687 ],[0.47607833 0.5619166 ],[0.49807164 0.49163514],[0.49727455 0.51632035],[0.59053713 0.49372718],[0.5844017 0.5332631],[0.664443  0.5060459],[0.66537523 0.51207393]
[0.33371684 0.49752563],[0.3203266 0.4972194],[0.31936502 0.4984594 ],[0.32583144 0.49709147],[0.32442793 0.5051525 ],[0.37061355 0.46626836],[0.36661384 0.5368617 ],[0.42536828 0.4436017 ],[0.42404774 0.5571061 ],[0.43006793 0.49343753],[0.47441438 0.56861204],[0.4958175  0.49171233],[0.49457914 0.5150656 ],[0.5917706 0.5050961],[0.584664  0.5327945],[0.66476613 0.50719196],[0.6691424 0.5140067]
[0.33373514 0.49978969],[0.32125312 0.5017932 ],[0.3206959 0.4968701],[0.32399112 0.5022023 ],[0.32600483 0.4935325 ],[0.36506966 0.50122607],[0.36741138 0.48348403],[0.41680762 0.538838  ],[0.4190538 0.5518503],[0.43572074 0.52776706],[0.46446818 0.5700006 ],[0.49515334 0.5066118 ],[0.49337518 0.49535507],[0.5935311  0.52227265],[0.5975234  0.49596944],[0.6617402  0.51387495],[0.68267065 0.48973233]
[0.3309661  0.50068307],[0.31870764 0.49951723],[0.31880635 0.50029516],[0.32548016 0.49705607],[0.32432494 0.50242716],[0.36921367 0.4649794 ],[0.36224803 0.52809817],[0.41733885 0.44950712],[0.41800013 0.5504789 ],[0.41414002 0.49751687],[0.45928654 0.5703623 ],[0.49067    0.49313846],[0.487738  0.5084678],[0.5900133  0.51001585],[0.5867894 0.5164284],[0.6623348 0.5101919],[0.6673096  0.50710577]
